insn,Ptype,Etype,0,1,2,3,in1,in2,in3,out,CR in,CR out
stw,2P,EXTRA3,d:RS,s:RA,,,RA_OR_ZERO,,RS,,,
stb,2P,EXTRA3,d:RS,s:RA,,,RA_OR_ZERO,,RS,,,
sth,2P,EXTRA3,d:RS,s:RA,,,RA_OR_ZERO,,RS,,,
std,2P,EXTRA3,d:RS,s:RA,,,RA_OR_ZERO,,RS,,,
