opcode,unit,internalop,in1,in2,in3,out,CRin,CRout,invA,invout,cryin,cryout,ldstlen,BR,sgnext,upd,rsrv,32b,sgn,rc,lk,sglpipe,comment
0,LDST,OP_STORE,RA_OR_ZERO,CONST_DS,RS,NONE,0,0,0,0,ZERO,0,is8B,0,0,0,0,0,0,NONE,0,1,std
1,LDST,OP_STORE,RA_OR_ZERO,CONST_DS,RS,NONE,0,0,0,0,ZERO,0,is8B,0,0,1,0,0,0,NONE,0,1,stdu
